Date,Peak concurrent users
January 2007,285000.0
January 2008,619000.0
January 2009,1500000.0
January 2010,2500000.0
February 2011,3170000.0
February 2012,4670000.0
February 2013,5790000.0
February 2014,6920000.0
March 2015,8580000.0
March 2016,11350000.0
March 2017,12250000.0
March 2018,16450000.0
October 2019,14800000.0
January 2020,16260000.000000002
March 2020,19830000.0
June 2020,20590000.0
October 2020,21860000.0
December 2020,23960000.0
January 2021,24670000.0
February 2021,25380000.0
March 2021,25650000.0
